Brightness,Count
0,274
1,73
2,93
3,147
4,613
5,168
6,207
7,212
8,185
9,238
10,215
11,207
12,185
13,184
14,160
15,167
16,179
17,168
18,196
19,177
20,198
21,199
22,203
23,190
24,206
25,177
26,204
27,193
28,225
29,222
30,206
31,206
32,189
33,218
34,218
35,214
36,207
37,231
38,198
39,227
40,238
41,258
42,236
43,248
44,315
45,252
46,258
47,265
48,255
49,230
50,227
51,209
52,195
53,217
54,200
55,211
56,205
57,237
58,196
59,178
60,213
61,200
62,195
63,208
64,177
65,199
66,188
67,205
68,201
69,204
70,165
71,217
72,219
73,238
74,234
75,221
76,224
77,207
78,208
79,220
80,219
81,211
82,231
83,190
84,195
85,184
86,181
87,168
88,186
89,198
90,174
91,179
92,173
93,170
94,166
95,183
96,145
97,171
98,182
99,170
100,155
101,174
102,159
103,177
104,153
105,144
106,139
107,149
108,154
109,180
110,136
111,169
112,175
113,166
114,150
115,176
116,154
117,145
118,160
119,160
120,166
121,160
122,154
123,163
124,180
125,158
126,154
127,175
128,171
129,152
130,167
131,159
132,165
133,169
134,173
135,140
136,156
137,193
138,179
139,169
140,141
141,148
142,170
143,192
144,177
145,182
146,154
147,173
148,171
149,169
150,173
151,150
152,181
153,176
154,168
155,149
156,180
157,162
158,180
159,191
160,169
161,175
162,191
163,184
164,170
165,169
166,176
167,174
168,174
169,167
170,176
171,169
172,165
173,174
174,177
175,187
176,190
177,176
178,175
179,164
180,179
181,172
182,177
183,200
184,205
185,206
186,194
187,177
188,205
189,179
190,181
191,211
192,174
193,195
194,195
195,194
196,200
197,176
198,190
199,225
200,198
201,210
202,185
203,224
204,225
205,215
206,223
207,252
208,199
209,219
210,222
211,245
212,208
213,216
214,241
215,259
216,253
217,297
218,264
219,297
220,279
221,273
222,323
223,335
224,377
225,366
226,332
227,337
228,324
229,296
230,328
231,303
232,348
233,312
234,293
235,287
236,267
237,242
238,268
239,282
240,264
241,233
242,271
243,170
244,133
245,118
246,75
247,75
248,60
249,47
250,32
251,30
252,14
253,18
254,17
255,35
